sampling_percentage,nominal_sampling_ratio,actual_sampling_ratio,retained_measurements_M,method,route_id,case_file,completion_status,rmse_normalized,rmse_gray_levels,tutorial_nrmse_relative_l2,psnr_section8_db,ssim_section8,psnr_plot_included,ssim_dynamic_range,metric_input_scale_divisor,clipping_applied,per_method_normalization_applied,benchmark_psnr_actual_reference_range_db,benchmark_ssim_actual_reference_range,source_reconstruction_hash_or_case_hash,omission_reason
15,0.14999999999999999,0.1500244140625,2458,TVAL3,tval3_cpu,c023.mat,completed,0.056344092071665186,14.367743478274623,0.1077459666824199,24.983032298723895,0.85132953613600104,True,1,255,False,False,25.0353747008126,0.85171916524438596,b1bf3cc051e13b069fa1287a8454a18b6c059a50fb7ea1a8ad6cde524a67f1b3,
20,0.20000000000000001,0.20001220703125,3277,TVAL3,tval3_cpu,c031.mat,completed,0.050127769466243796,12.782581213892168,0.0958585857041446,25.998432394893918,0.88175539439350881,True,1,255,False,False,26.050774796982601,0.88205481396866103,a4a48a1a288b80f22b4f470df6d11b417b9d1d423e51f9420e7e250e022befe4,
25,0.25,0.25,4096,TVAL3,tval3_cpu,c039.mat,completed,0.042947731826999319,10.951671615884827,0.082128306844160948,27.341195347262136,0.90985772601852166,True,1,255,False,False,27.393537749350799,0.91012463716955605,609abc42c791a78e069dc289b652c6703c425f7977ef29fbe647bffd610076fa,
30,0.29999999999999999,0.29998779296875,4915,TVAL3,tval3_cpu,c047.mat,completed,0.037269313177758431,9.5036748603284007,0.071269551576408172,28.572972212461721,0.92788850258971745,True,1,255,False,False,28.625314614550401,0.92804652843679003,897ab539f761325d0e49a09739962def3e52326a513a6aed0d09187462be6a14,
35,0.34999999999999998,0.3499755859375,5734,TVAL3,tval3_cpu,c055.mat,completed,0.031988225444270352,8.1569974882889404,0.061170606291149163,29.900197037103517,0.94290978965534222,True,1,255,False,False,29.952539439192201,0.94306300082218897,c672e99b674f4ba541b9c4fe5110bf91a5c0fbc027994c547b0c488098cca970,
40,0.40000000000000002,0.4000244140625,6554,TVAL3,tval3_cpu,c063.mat,completed,0.027925555332095946,7.1210166096844665,0.053401622845799801,31.079963633527761,0.95380135320954085,True,1,255,False,False,31.132306035616502,0.95394944113661595,1985b329caa988536201c2f7f5547a44761fdb866516deacbd9bba93e146d7c8,
45,0.45000000000000001,0.45001220703125,7373,TVAL3,tval3_cpu,c071.mat,completed,0.024922641010016688,6.3552734575542553,0.047659194587565006,32.068118762485931,0.96077242597633261,True,1,255,False,False,32.1204611645746,0.96088119611977496,2558639abce19b35dd9d4f42163776931669a89f9d179689d47838a280acb3f5,
50,0.5,0.5,8192,TVAL3,tval3_cpu,c079.mat,completed,0.021609542287812002,5.5104332833920608,0.041323605328549305,33.307088636405268,0.96873707125128505,True,1,255,False,False,33.359431038494002,0.96877460946290295,d46720b48492aade3d5f73cdfd9a05a89487b13e95a363f482584a594f333527,
55,0.55000000000000004,0.54998779296875,9011,TVAL3,tval3_cpu,c087.mat,completed,0.019126050113404205,4.8771427789180724,0.036574460294151637,34.367494212703448,0.97471427109216768,True,1,255,False,False,34.419836614792104,0.97470499918592401,7cfab008ba2d1c0dc10f809a11c5bf54308d92d7ec528ef79baa0c109dda2ed4,
60,0.59999999999999998,0.5999755859375,9830,TVAL3,tval3_cpu,c095.mat,completed,0.016595450567044812,4.2318398945964271,0.0317352325351564,35.600219039708421,0.97975494794971274,True,1,255,False,False,35.652561441797097,0.97972727018174,4dfb2e3c7720138710878a0440be56775ede7982e06c419005821d2eea613320,
65,0.65000000000000002,0.6500244140625,10650,TVAL3,tval3_cpu,c103.mat,completed,0.014552431114897501,3.7108699342988625,0.027828396916213145,36.741288956121153,0.9834683102259778,True,1,255,False,False,36.793631358209801,0.98348717582189105,607edea02d9e0772730507f84c70d4b3c316a10354578fc5ee66cb49221251e0,
70,0.69999999999999996,0.70001220703125,11469,TVAL3,tval3_cpu,c111.mat,completed,0.012714527388596752,3.2422044840921718,0.02431380103972583,37.91399556676771,0.98656732801406322,True,1,255,False,False,37.966337968856401,0.98661110179592804,f04ec5d5cc321f0c57c57cd3f39a120aceeaa449adfe4ebd7f60a804b026110c,
75,0.75,0.75,12288,TVAL3,tval3_cpu,c119.mat,completed,0.011004183851399431,2.8060668821068551,0.02104313660981609,39.16884324572478,0.98937399760205269,True,1,255,False,False,39.221185647813499,0.98940426161313599,97e85a86445cb0edecfc46be004d5eae4e57a501d8e885376b008bd9a09c2628,
80,0.80000000000000004,0.79998779296875,13107,TVAL3,tval3_cpu,c127.mat,completed,0.0090407488998861668,2.3053909694709724,0.017288489244130095,40.875911855942377,0.99228145015424374,True,1,255,False,False,40.928254258031103,0.99231638352264695,d91f3a5bd0d0bbed10e33481c0f7b16fe32c9a2d75425955e87239a6e19a6189,
85,0.84999999999999998,0.8499755859375,13926,TVAL3,tval3_cpu,c135.mat,completed,0.0077010731823853188,1.9637736615082564,0.014726647355906952,42.268974990806363,0.9942547779622144,True,1,255,False,False,42.321317392895097,0.99428096065134297,ba4429b241325824871af933f5e7f6266dfc7b7ae15081cce3cf3ab8ae3ca716,
90,0.90000000000000002,0.9000244140625,14746,TVAL3,tval3_cpu,c143.mat,completed,0.0055334041711398874,1.4110180636406713,0.010581446244722167,45.14015213742983,0.99638797111910948,True,1,255,False,False,45.192494539518499,0.99641226254570803,4828f7cd50388d32eaf2331ac4c11b6fdcae4651c591dc283f82c13b36ae8aff,
95,0.94999999999999996,0.95001220703125,15565,TVAL3,tval3_cpu,c151.mat,completed,0.0035812114803891724,0.91320892749923899,0.0068482972865713575,48.91940063894009,0.99771762422751509,True,1,255,False,False,48.971743041028802,0.997734496298187,67c4f64c55cc002d367391ae44cdd6f7806b6eb2e794507a8e22b62c9fd71cbc,
100,1,1,16384,TVAL3,tval3_cpu,c159.mat,completed,0.0021226315397680296,0.54127104264084758,0.0040590766263835665,53.462507739227561,0.99859627121527217,False,1,255,False,False,53.514850141316302,0.99860832967442104,494ee1e1cbd7f45ebc393ff8e6a3442d7c1dd9f6f89729656d61dc61d8a267b8,
5,0.050000000000000003,0.04998779296875,819,TV-QC,tvqc_l1magic_cpu,c008.mat,completed,0.071822481845472852,18.314732870595577,0.13734506052787518,22.874791835724718,0.75719530074668018,True,1,255,False,False,22.927134237813402,0.75783303033013105,84fe79d953ee92a67bf0ef3646ad6dd96130490089c2dbe49a3daece253e5847,
10,0.10000000000000001,0.0999755859375,1638,TV-QC,tvqc_l1magic_cpu,c016.mat,completed,0.057035214519277594,14.543979702415786,0.10906758982827172,24.877138413144046,0.83521207100539163,True,1,255,False,False,24.929480815232701,0.83561949568951899,85248f2ce53fd0bb3b4191f55d8fd56d586f513bb89218a5fb263bd0cd8827ff,
15,0.14999999999999999,0.1500244140625,2458,TV-QC,tvqc_l1magic_cpu,c024.mat,completed,0.050633706114539212,12.9115950592075,0.096826080808712356,25.911205668661669,0.86724803519014437,True,1,255,False,False,25.963548070750399,0.86756563459233504,6d628f6a96fac5d9690a2779143dafad6d603b684d12efc97fc892d8d49a5f10,
